"title","level","service","category","description","id"
"Logoff","informational","security","","Prints logon information.","7309e070-56b9-408b-a2f4-f1840f8f1ebf"
"Logoff (Noisy)","informational","security","","Prints logon information.","84288799-8b61-4d98-bad0-4043c40cf992"
"User Logoff Event","informational","security","","Detects a user log-off activity. Could be used for example to correlate information during forensic investigations","73f64ce7-a76d-0208-ea75-dd26a09d719b"
"Logon Failure (Unknown Reason)","low","security","","Prints logon information.","a85096da-be85-48d7-8ad5-2f957cd74daa"
"Logon (CachedUnlock) *Creds in memory*","informational","security","","Type 13 logons can be dangerous as the credentials (plaintext or hashed passwords) are stored in memory (lsass process) and can be stolen by tools like mimikatz.","e50e3952-06d9-44a8-ab07-7a41c9801d78"
"Failed Logon - Non-Existent User","medium","security","","Detects a failed logon event due to an incorrect username","b2c74582-0d44-49fe-8faa-014dcdafee62"
"Explicit Logon Attempt (Noisy)","informational","security","","(From ultimatewindowsecurity.com)
This log is generated when
1. A user connects to a server or runs a program locally using alternate credentials.
   For instance a user maps a drive to a server but specifies a different user's credentials or opens a shortcut under RunAs by shift-control-right-clicking on the shortcut,
   selecting Run as..., and then filling in a different user's credentials in the dialog box that appears.  Or a user logs on to a web site using new specific credentials.
2. When a process logs on as a different account such as when the Scheduled Tasks service starts a task as the specified user.
3. With User Account Control enabled, an end user runs a program requiring admin authority.  You will get this event where the process information is consent.exe.
   Unfortunately the Subject does not identify the end user.
4. Logging on interactively to a server with a domain account. (Two 4624 events will also be generated.)
This logon event is unique in that it is logged on the source computer and not the target computer like most other logon events.
Also, it will be logged regardless of the logon being successful or not so consider it an attempt and not necessarily an actual successful logon.
","a5b3ebf0-141a-4264-b2ff-400c0d515fca"
"Logon (Interactive) (Noisy)","informational","security","","This is filtered by default as it is usually system noise.","b1782e40-d247-4de1-86d1-37392cb62e3b"
"Logon (Interactive) *Creds in memory*","informational","security","","Type 2 Interactive logons can be dangerous as the credentials (plaintext or hashed passwords) are stored in memory (lsass process) and can be stolen by tools like mimikatz.","7beb4832-f357-47a4-afd8-803d69a5c85c"
"Logon (Service)","informational","security","","Prints logon type 5 service logons.","408e1304-51d7-4d3e-ab31-afd07192400b"
"Logon (Batch)","informational","security","","Prints logon information","8ad8b25f-6052-4cfd-9a50-717cb514af13"
"Possible Token Impersonation","medium","security","","Tries to detect token impersonation by tools like Cobalt Strike.","46614e82-7926-41f9-85aa-006b98c5c2a3"
"Logon (Service) (Noisy)","informational","security","","System Noise","84e5ff02-5f8f-48c4-a7e9-88aa1fb888f7"
"Logon (CachedRemoteInteractive) *Creds in memory*","informational","security","","Type 12 logons can be dangerous as the credentials (plaintext or hashed passwords) are stored in memory (lsass process) and can be stolen by tools like mimikatz.","f4b46dd3-63d6-4c75-a54c-9f6bd095cd6f"
"Logon (Network) (Noisy)","informational","security","","Outputs system noise","0266af4f-8825-495e-959c-bff801094349"
"Logon Failure (User Does Not Exist)","low","security","","Prints failed logons","8afa97ce-a217-4f7c-aced-3e320a57756d"
"Logon (NetworkCleartext)","informational","security","","Prints logon information. Despite the naming NetworkCleartext, the password is not sent over the network in cleartext. It is usually for IIS Basic Authentication.","7ff51227-6a10-49e6-a58b-b9f4ac32b138"
"Logon (NewCredentials) *Creds in memory*","informational","security","","Type 9 logons can be dangerous as the credentials (plaintext or hashed passwords) are stored in memory (lsass process) and can be stolen by tools like mimikatz.","d80facaa-ca97-47bb-aed2-66362416eb49"
"Logon Failure (Wrong Password)","low","security","","Prints logon information.","e87bd730-df45-4ae9-85de-6c75369c5d29"
"Logon (RemoteInteractive (RDP)) *Creds in memory*","informational","security","","Type 10 logons can be dangerous as the credentials (plaintext or hashed passwords) are stored in memory (lsass process) and can be stolen by tools like mimikatz.","a4e05f05-ff88-48b9-8524-a88c1c32fe19"
"Explicit Logon Attempt","informational","security","","(From ultimatewindowsecurity.com)
This log is generated when
1. A user connects to a server or runs a program locally using alternate credentials.
   For instance a user maps a drive to a server but specifies a different user's credentials or opens a shortcut under RunAs by shift-control-right-clicking on the shortcut,
   selecting Run as..., and then filling in a different user's credentials in the dialog box that appears.  Or a user logs on to a web site using new specific credentials.
2. When a process logs on as a different account such as when the Scheduled Tasks service starts a task as the specified user.
3. With User Account Control enabled, an end user runs a program requiring admin authority.  You will get this event where the process information is consent.exe.
   Unfortunately the Subject does not identify the end user.
4. Logging on interactively to a server with a domain account. (Two 4624 events will also be generated.)
This logon event is unique in that it is logged on the source computer and not the target computer like most other logon events.
Also, it will be logged regardless of the logon being successful or not so consider it an attempt and not necessarily an actual successful logon.
","8c1899fe-493d-4faf-aae1-0853a33a3278"
"NewInteractive Logon (Suspicious Process)","medium","security","","Tries to detect token impersonation by tools like Cobalt Strike.","9e8b6cdb-9991-488b-a7b3-2eec7aa64679"
"Failed Logon - Incorrect Password","medium","security","","Detects a failed logon event due to a wrong password","5b0b75dc-9190-4047-b9a8-14164cee8a31"
"PW Spray","medium","security","","Search for many 4648 explicit credential logon attempts in a short period of time.","ffd622af-d049-449f-af5a-0492fdcc3a58"
"Explicit Logon Attempt (Susp Proc) - Possible Mimikatz PrivEsc","high","security","","Detects explicit credential logons with suspicous processes like powershell and wmic which are often abused by malware like Cobalt Strike or Mimikatz for user impersonation.","7616e857-8e41-4976-bc21-811d122b9fc9"
"Logon (Unlock)","informational","security","","Prints logon information","b61bfa39-48ec-4bdf-9d4e-e7205f49acd2"
"Logon (System) - Bootup","informational","security","","The logon event happens when the computer boots up.","9fa273cc-bcb2-4789-85e3-14ca253ac7f4"
"Failed Logon - Incorrect Password","medium","security","","Detects a failed logon event due to a wrong password","ab1accc0-b6e2-4841-8dfb-5902581392c3"
"User Guessing","medium","security","","Search for many 4625 failed logon attempts due to wrong usernames in a short period of time.","4574194d-e7ca-4356-a95c-21b753a1787e"
"Logon (Network)","informational","security","","Prints logon information","c7b22878-e5d8-4c30-b245-e51fd354359e"
"PW Guessing","medium","security","","Search for many 4625 wrong password failed logon attempts in a short period of time.","35e8a0fc-60c2-46d7-ba39-aafb15b9854e"
"Logon (CachedInteractive) *Creds in memory*","informational","security","","Type 11 Interactive logons can be dangerous as the credentials (plaintext or hashed passwords) are stored in memory (lsass process) and can be stolen by tools like mimikatz.","fbbe9d3f-ed1f-49a9-9446-726e349f5fba"
"Password Spraying via Explicit Credentials","medium","security","","Detects a single user failing to authenticate to multiple users using explicit credentials.","27124590-ab3f-79b8-7dfa-b82820dbb1cc"
"Multiple Users Remotely Failing To Authenticate From Single Source","medium","security","","Detects a source system failing to authenticate against a remote host with multiple users.","30e70d43-6368-123c-a3c8-d23309a3ff97"
"Multiple Users Failing to Authenticate from Single Process","medium","security","","Detects failed logins with multiple accounts from a single process on the system.","84202b5b-54c1-473b-4568-e10da23b3eb8"
"Failed Logins with Different Accounts from Single Source System","medium","security","","Detects suspicious failed logins with different user accounts from a single source system","428d3964-3241-1ceb-8f93-b31d8490c822"
"Interactive Logon to Server Systems","medium","security","","Detects interactive console logons to Server Systems","7298c707-7564-3229-7c76-ec514847d8c2"
"Potential Pass the Hash Activity","medium","security","","Detects the attack technique pass the hash which is used to move laterally inside the network","35890fd4-9ed3-b244-0eff-91fe61e52f8b"
"Potential Remote WMI ActiveScriptEventConsumers Activity","medium","security","","Detect potential adversaries leveraging WMI ActiveScriptEventConsumers remotely to move laterally in a network.
This event is best correlated and used as an enrichment to determine the potential lateral movement activity.
","910ec16d-6957-01b7-39a8-5e676e459cac"
"Suspicious Remote Logon with Explicit Credentials","medium","security","","Detects suspicious processes logging on with explicit credentials","250cf413-1d30-38fd-4b41-ae5a92452700"
"Hacktool Ruler","high","security","","This events that are generated when using the hacktool Ruler by Sensepost","8b40829b-4556-9bec-a8ad-905688497639"
"Account Tampering - Suspicious Failed Logon Reasons","medium","security","","This method uses uncommon error codes on failed logons to determine suspicious activity and tampering with accounts that have been disabled or somehow restricted.","655eb351-553b-501f-186e-aa9af13ecf43"
"Metasploit SMB Authentication","high","security","","Alerts on Metasploit host's authentications on the domain.","827aa6c1-1507-3f0a-385a-ade5251bfd71"
"Potential Access Token Abuse","medium","security","","Detects potential token impersonation and theft. Example, when using ""DuplicateToken(Ex)"" and ""ImpersonateLoggedOnUser"" with the ""LOGON32_LOGON_NEW_CREDENTIALS flag"".","e8c130a4-cf04-543d-919b-76947bde76b8"
"Scanner PoC for CVE-2019-0708 RDP RCE Vuln","high","security","","Detects the use of a scanner by zerosum0x0 that discovers targets vulnerable to  CVE-2019-0708 RDP RCE aka BlueKeep","232ecd79-c09d-1323-8e7e-14322b766855"
"Outgoing Logon with New Credentials","low","security","","Detects logon events that specify new credentials","897e25ba-f935-3fd3-c6d5-f9abf379e831"
"Successful Account Login Via WMI","low","security","","Detects successful logon attempts performed with WMI","c310cab1-252e-1d98-6b6f-e6e60c88a374"
"Admin User Remote Logon","low","security","","Detect remote login by Administrator user (depending on internal pattern).","de5d0dd7-b73e-7f18-02b0-6b1acb7e9f52"
"RDP Login from Localhost","high","security","","RDP login with localhost source address may be a tunnelled login","b3f33f69-1331-d3d0-eb62-81f477abad86"
"RottenPotato Like Attack Pattern","high","security","","Detects logon events that have characteristics of events generated during an attack with RottenPotato and the like","a1f9fad3-d563-5f3f-de09-e4ca03b97522"
"External Remote SMB Logon from Public IP","high","security","","Detects successful logon from public IP address via SMB. This can indicate a publicly-exposed SMB port.","5c67a566-7829-eb05-4a1f-0eb292ef993f"
"DiagTrackEoP Default Login Username","critical","security","","Detects the default ""UserName"" used by the DiagTrackEoP POC","dd648614-9dd8-fab8-92d6-be7dfa1b393c"
"Failed Logon From Public IP","medium","security","","Detects a failed logon attempt from a public IP. A login from a public IP can indicate a misconfigured firewall or network boundary.","6bcac9cb-eeee-9f45-c5c1-0daaf023ac12"
"Potential Privilege Escalation via Local Kerberos Relay over LDAP","high","security","","Detects a suspicious local successful logon event where the Logon Package is Kerberos, the remote address is set to localhost, and the target user SID is the built-in local Administrator account.
This may indicate an attempt to leverage a Kerberos relay attack variant that can be used to elevate privilege locally from a domain joined limited user to local System privileges.
","96896e3a-28de-da11-c7fd-0040868e3a2f"
"Pass the Hash Activity 2","medium","security","","Detects the attack technique pass the hash which is used to move laterally inside the network","059e7255-411c-1666-a2e5-2e99e294e614"
"External Remote RDP Logon from Public IP","medium","security","","Detects successful logon from public IP address via RDP. This can indicate a publicly-exposed RDP port.","56a1bb6f-e039-3f65-3ea0-de425cefa8a7"
"Successful Overpass the Hash Attempt","high","security","","Detects successful logon with logon type 9 (NewCredentials) which matches the Overpass the Hash behavior of e.g Mimikatz's sekurlsa::pth module.","20f4e87b-c272-42da-9a1f-ad54206e3622"
"Admin Logon","informational","security","","Originally ""Special privileges assigned to new logon"". This will create a seperate LID that is used when special admin-level privileges are used.","fdd0b325-8b89-469c-8b0c-e5ddfe39b62e"
"User with Privileges Logon","low","security","","Detects logon with ""Special groups"" and ""Special Privileges"" can be thought of as Administrator groups or privileges.","b3d10465-f171-0ef7-d28e-8ef2f9409cf1"
"Windows Event Auditing Disabled","low","security","","Detects scenarios where system auditing (i.e.: Windows event log auditing) is disabled.
This may be used in a scenario where an entity would want to bypass local logging to evade detection when Windows event logging is enabled and reviewed.
Also, it is recommended to turn off ""Local Group Policy Object Processing"" via GPO, which will make sure that Active Directory GPOs take precedence over local/edited computer policies via something such as ""gpedit.msc"".
Please note, that disabling ""Local Group Policy Object Processing"" may cause an issue in scenarios of one off specific GPO modifications - however, it is recommended to perform these modifications in Active Directory anyways.
","83d7b3c2-220e-60e8-4aad-98e206e841ba"
"VSSAudit Security Event Source Registration","informational","security","","Detects the registration of the security event source VSSAudit. It would usually trigger when volume shadow copy operations happen.","00f253a0-1035-e450-7f6e-e2291dee27ec"
"Important Windows Event Auditing Disabled","high","security","","Detects scenarios where system auditing for important events such as ""Process Creation"" or ""Logon"" events is disabled.","5fa54162-0bc4-710e-5dec-7ccc99ee4d52"
"A New Trust Was Created To A Domain","medium","security","","Addition of domains is seldom and should be verified for legitimacy.","5a3e5a2f-bdf8-d6d0-f439-5543b54d5ba5"
"Unauthorized System Time Modification","low","security","","Detect scenarios where a potentially unauthorized application or user is modifying the system time.","1085e6d3-6691-5713-42ba-ba8933a6b2d0"
"Code Integrity Error (Invalid Image Hash)","low","security","","Detects when hashes are not correct or a file does not meet Windows' security requirements.","0c871345-668e-4b71-bdad-61e42ecc31e3"
"Code Integrity Error (Invalid Image Page Hash)","low","security","","Detects when hashes are not correct or a file does not meet Windows' security requirements.","d4757f63-cc0e-448e-8b5b-6cb02aeb918a"
"Code Integrity Proble (Possible Modification)","low","security","","Detects when hashes are not correct or a file does not meet Windows' security requirements.","c2eb9d20-ef9d-4b2d-bffe-d0a5d9616f30"
"Failed Code Integrity Checks","informational","security","","Detects code integrity failures such as missing page hashes or corrupted drivers due unauthorized modification. This could be a sign of tampered binaries.
","4f738466-2a14-5842-1eb3-481614770a49"
"Microsoft Defender Blocked from Loading Unsigned DLL","high","security-mitigations","","Detects Code Integrity (CI) engine blocking Microsoft Defender's processes (MpCmdRun and NisSrv) from loading unsigned DLLs which may be an attempt to sideload arbitrary DLL","838d17f1-63ba-03c4-f8ae-2bdfd74a6a08"
"Unsigned Binary Loaded From Suspicious Location","high","security-mitigations","","Detects Code Integrity (CI) engine blocking processes from loading unsigned DLLs residing in suspicious locations","15277aa1-7b5b-9e3b-cca8-52c21a36d06c"
"Microsoft Defender Blocked from Loading Unsigned DLL","high","security-mitigations","","Detects Code Integrity (CI) engine blocking Microsoft Defender's processes (MpCmdRun and NisSrv) from loading unsigned DLLs which may be an attempt to sideload arbitrary DLL","838d17f1-63ba-03c4-f8ae-2bdfd74a6a08"
"Unsigned Binary Loaded From Suspicious Location","high","security-mitigations","","Detects Code Integrity (CI) engine blocking processes from loading unsigned DLLs residing in suspicious locations","15277aa1-7b5b-9e3b-cca8-52c21a36d06c"
"Failed Mounting of Hidden Share","medium","smbclient-security","","Detects repeated failed (outgoing) attempts to mount a hidden share","624e39e1-5bc5-13fe-0b2d-5d988a416f24"
"Suspicious Rejected SMB Guest Logon From IP","medium","smbclient-security","","Detect Attempt PrintNightmare (CVE-2021-1675) Remote code execution in Windows Spooler Service","610c6a10-ca67-69c5-0f6d-761487fb3b37"
"Possible Metasploit Svc Installed","medium","system","","","76355548-fa5a-4310-9610-0de4b11f4688"
"BSOD","medium","system","","Blue Screen Of Death. MS calls these Bug Check Errors.
param1 will contain various error codes for debugging:
example: 0x0000009f (0x0000000000000003, 0xffffe682fdfaf570, 0xfffff800666c4750, 0xffffe6831844f050)
    - 0x0000009f is the Bug Check Code (a.k.a. Stop Code) meaning DRIVER_POWER_STATE_FAILURE
    - 0x0000000000000003 indicates the type of inconsistency. In this case, 0x3 means the system is transitioning from a sleep state (S4 or S5) to an awake state (S0).
    - 0xffffe682fdfaf570 is a pointer to the DEVICE_OBJECT structure representing the device that is being enumerated.
    - 0xfffff800666c4750 is a pointer to the IRP (I/O Request Packet) that was pending for the device object.
    - 0xffffe6831844f050 is a pointer to the NTSTATUS code indicating the cause of the failure.
param2 is the path to a memory dump (ex: C:\WINDOWS\MEMORY.DMP)
param3 is the report ID (ex: cf65ecb3-8a81-4a04-89ae-8d1fff1aecf8)
","082fbbf5-bb05-468c-ad9c-ef2a383bb293"
"Computer Uptime/Timezone","informational","system","","This is an event that shows the computer uptime.This event is important because it also contains the OS timezone information.
","982fdd1f-38fe-4243-bea3-6032fc01b723"
"Service Crashed","low","system","","","d869bf31-92b3-4e21-a447-708f10156e7c"
"Important Log File Cleared","high","system","","Somebody cleared an imporant event log.","f481a1f3-969e-4187-b3a5-b47c272bfebd"
"Service Crashed","low","system","","","f5dc6a6d-fdf1-441a-a10c-aa10e2908aa4"
"Suspicious Service Path","high","system","","Malware will often create services for persistence and use BASE64 encoded strings to execute malicious code or abuse legitimate binaries like cmd.exe, powershell, etc... inside the path to execute. Normally, services will not run built-in binaries, run from user or temp folders or contain encoded data.","dbbfd9f3-9508-478b-887e-03ddb9236909"
"Computer Startup","informational","system","","The computer started up. This event is important because it also contains the OS version information.
%Data[3]% contains the Service Pack name (Ex: Service Pack 1) for Windows 7 systems but can be infered from the build number so is left out.
%Data[4]% contains processor license information (Ex: Multiprocessor Free) but is not so useful so is left out.
%Data[5]% contains the Revision (a.k.a. Update Version) Number in Windows 7 logs.
Windows 10+ seems to always output 0 for this so it is not a reliable source for identifying the Revision Number.
","b27292f1a-18b3-4433-b340-151874a7d4e8"
"Unexpected Shutdown","low","system","","The shutdown operation is initiated automatically by a program that uses the InitiateSystemShutdownEx function with the force flag.","517c0b15-d2bf-48a3-926c-f7b4a96dcec3"
"Svc Installed","informational","system","","A new service was installed. (Possibly malware.)","64c5d39d-10a7-44f4-b5d6-fd0d93d0a69f"
"Event Log Svc Stopped","informational","system","","Shutdown, reboot, event log service stopped, etc...","b6d53116-36b2-4413-a99b-e6708f9c3027"
"Computer Startup","informational","system","","The system has booted up. It also contains information about the OS version even though this information is not present in the event message. You can tell if the system was started up normally or in safe mode depending on the value of the BootMode. 0 for normal boot. 1 for Safe Mode. 2 for Safe Mode with networking.","a225cc36-bfdc-4e7a-ad01-f544b90e2d2a"
"New USB PnP Device","informational","system","","Logs only the first time a device has been plugged in.","f5c0b936-bec8-418a-a79a-89833468fea2"
"New Non-USB PnP Device","informational","system","","Logs only the first time a device has been plugged in.","9eaea7e6-6567-4ad0-bcc9-fe568dd27909"
"Computer Startup In Safe Mode","medium","system","","The system has booted up. It also contains information about the OS version even though this information is not present in the event message. You can tell if the system was started up normally or in safe mode depending on the value of the BootMode. 0 for normal boot. 1 for Safe Mode. 2 for Safe Mode with networking.","8da41a05-364b-4e3c-95d9-397abb82eac4"
"Event Log Service Startup Type Changed To Disabled","medium","system","","","ab3507cf-5231-4af6-ab1d-5d3b3ad467b5"
"Suspicious Service Name","high","system","","Tries to look for random-looking service names that are often used by malware for persistence.","cc429813-21db-4019-b520-2f19648e1ef1"
"Log File Cleared","medium","system","","Somebody cleared an imporant event log.","ed90ed4f-0d93-4f1a-99a2-4b9003b750a7"
"PSExec Lateral Movement","high","system","","PSExec is a MS SysInternals tool often abused for lateral movement.","0694c340-3a46-40ac-acfc-c3444ae6572c"
"Event Log Svc Started","informational","system","","Startup, restarting the event log service, etc...","11dc7d25-01c9-4b07-9d91-8e07b60d8fd3"
"Rare Service Installations","low","system","","Detects rare service installs that only appear a few times per time frame and could reveal password dumpers, backdoor installs or other types of malicious services","e9acc9e9-8b91-7859-2d0c-446a2c40b937"
"Metasploit Or Impacket Service Installation Via SMB PsExec","high","system","","Detects usage of Metasploit SMB PsExec (exploit/windows/smb/psexec) and Impacket psexec.py by triggering on specific service installation","c953a767-8b94-df03-dd53-611baad380fd"
"Malicious Service Installations","critical","system","","Detects known malicious service installs that only appear in cases of lateral movement, credential dumping, and other suspicious activities.","a5f841a8-5dcb-5ee4-73ea-5331859bf763"
"New Service Uses Double Ampersand in Path","high","system","","Detects a service installation that uses a suspicious double ampersand used in the image path value","22b90bac-a283-6153-761c-7b6059f8f250"
"SAM Dump to AppData","high","system","","Detects suspicious SAM dump activity as cause by QuarksPwDump and other password dumpers","f224a2b6-2db1-a1a2-42d4-25df0c460915"
"NTFS Vulnerability Exploitation","high","system","","This the exploitation of a NTFS vulnerability as reported without many details via Twitter","73b6342c-c17a-d447-2fd3-119ed3cf61ca"
"Certificate Use With No Strong Mapping","medium","system","","Detects a user certificate that was valid but could not be mapped to a user in a strong way (such as via explicit mapping, key trust mapping, or a SID)
This could be a sign of exploitation of the elevation of privilege vulnerabilities (CVE-2022-34691, CVE-2022-26931, CVE-2022-26923) that can occur when the KDC allows certificate spoofing by not requiring a strong mapping.
Events where the AccountName and CN of the Subject do not match, or where the CN ends in a dollar sign indicating a machine, may indicate certificate spoofing.
","470e08fc-0b52-8769-10d3-5b5c1920327e"
"No Suitable Encryption Key Found For Generating Kerberos Ticket","low","system","","Detects errors when a target server doesn't have suitable keys for generating kerberos tickets.
This issue can occur for example when a service uses a user account or a computer account that is configured for only DES encryption on a computer that is running Windows 7 which has DES encryption for Kerberos authentication disabled.
","e10c99fe-7559-5ae3-9c5c-9fd0a70bd4a6"
"KDC RC4-HMAC Downgrade CVE-2022-37966","high","system","","Detects the exploitation of a security bypass and elevation of privilege vulnerability with Authentication Negotiation by using weak RC4-HMAC negotiation","87515290-bf9f-09a4-af0e-bac22cb017f6"
"Local Privilege Escalation Indicator TabTip","high","system","","Detects the invocation of TabTip via CLSID as seen when JuicyPotatoNG is used on a system in brute force mode","cd12f5c0-9798-3928-58bf-34b2816ea898"
"Sysmon Application Crashed","high","system","","Detects application popup reporting a failure of the Sysmon service","e064a7a6-e709-1464-34e4-626106c91d98"
"Volume Shadow Copy Mount","low","system","","Detects volume shadow copy mount via Windows event log","15b42b84-becb-a48c-8971-28895065fbd3"
"Active Directory Certificate Services Denied Certificate Enrollment Request","low","system","","Detects denied requests by Active Directory Certificate Services.
Example of these requests denial include issues with permissions on the certificate template or invalid signatures.
","817138f1-cfd3-c653-7392-a3c61051a8d3"
"Critical Hive In Suspicious Location Access Bits Cleared","high","system","","Detects events from the Kernel-General ETW indicating that the access bits of a hive with a system like hive name located in the temp directory have been reset.
This occurs when an application tries to access a hive and the hive has not be recognized since the last 7 days (by default).
Registry hive dumping utilities such as QuarksPwDump were seen emitting this behavior.
","625954f8-9cc1-bc90-d5bd-4d1d82849d37"
"DHCP Server Loaded the CallOut DLL","high","system","","This rule detects a DHCP server in which a specified Callout DLL (in registry) was loaded","87ade82b-7e03-f378-c163-59adb06640ae"
"DHCP Server Error Failed Loading the CallOut DLL","high","system","","This rule detects a DHCP server error in which a specified Callout DLL (in registry) could not be loaded","a6878a7f-9fcd-9b29-ba67-ca05b11dc4aa"
"Zerologon Exploitation Using Well-known Tools","critical","system","","This rule is designed to detect attempts to exploit Zerologon (CVE-2020-1472) vulnerability using mimikatz zerologon module or other exploits from machine with ""kali"" hostname.","4d943318-24e9-7318-6951-fdf8cb235652"
"Vulnerable Netlogon Secure Channel Connection Allowed","high","system","","Detects that a vulnerable Netlogon secure channel connection was allowed, which could be an indicator of CVE-2020-1472.","a82f6b3b-324f-7234-9092-289117234d31"
"Invoke-Obfuscation Obfuscated IEX Invocation - System","high","system","","Detects all variations of obfuscated powershell IEX invocation code generated by Invoke-Obfuscation framework from the code block linked in the references","af2b45c1-ed61-0866-791a-13ae39ff80c3"
"PAExec Service Installation","medium","system","","Detects PAExec service installation","19b4e2a1-4499-8c65-e93a-5f675df202d8"
"Credential Dumping Tools Service Execution - System","high","system","","Detects well-known credential dumping tools execution via service execution events","81562732-3278-cd48-1db2-581bc7158b6e"
"Service Installed By Unusual Client - System","high","system","","Detects a service installed by a client which has PID 0 or whose parent has PID 0","97b97d4d-e03c-ace5-3215-fa2f51ec5fd5"
"RemCom Service Installation","medium","system","","Detects RemCom service installation and execution events","1ae1cb63-2c82-d95d-a200-533f229715b2"
"New PDQDeploy Service - Client Side","medium","system","","Detects PDQDeploy service installation on the target system.
When a package is deployed via PDQDeploy it installs a remote service on the target machine with the name ""PDQDeployRunner-X"" where ""X"" is an integer starting from 1
","c5b232f5-bd0a-c0ea-585f-c54fbe370580"
"CobaltStrike Service Installations - System","critical","system","","Detects known malicious service installs that appear in cases in which a Cobalt Strike beacon elevates privileges or lateral movement","51ba8477-86a4-6ff0-35fa-7b7f1b1e3f83"
"Suspicious Service Installation Script","high","system","","Detects suspicious service installation scripts","778c7f2b-32f5-e591-5c4a-01e47388475c"
"Uncommon Service Installation Image Path","medium","system","","Detects uncommon service installation commands by looking at suspicious or uncommon image path values containing references to encoded powershell commands, temporary paths, etc.
","4de4ea24-8c0c-75ed-78c3-bf620ec06fd5"
"PsExec Service Installation","medium","system","","Detects PsExec service installation and execution events","cb7a40d5-f1de-9dd4-465d-eada7e316d8f"
"CSExec Service Installation","medium","system","","Detects CSExec service installation and execution events","efef064b-d350-a96b-fe1e-ef4cfe657066"
"Windows Service Terminated With Error","low","system","","Detects Windows services that got terminated for whatever reason","c002ec31-f147-d591-b2f2-253774fd4248"
"Service Installation in Suspicious Folder","medium","system","","Detects service installation in suspicious folder appdata","60ddd708-71a3-e524-27b1-4cdeda02ce46"
"Remote Utilities Host Service Install","medium","system","","Detects Remote Utilities Host service installation on the target system.","97bd461f-b35e-a243-c697-06cc0539d7e3"
"ProcessHacker Privilege Elevation","high","system","","Detects a ProcessHacker tool that elevated privileges to a very high level","9e870183-fbbc-e736-c380-d20bd74d7dbe"
"Invoke-Obfuscation Via Use Clip - System","high","system","","Detects Obfuscated Powershell via use Clip.exe in Scripts","e92121bb-a1c1-5d5a-6abb-3a25fe37fb41"
"Invoke-Obfuscation RUNDLL LAUNCHER - System","medium","system","","Detects Obfuscated Powershell via RUNDLL LAUNCHER","686d9481-474f-2b85-7c51-e69967c1afcc"
"Invoke-Obfuscation VAR+ Launcher - System","high","system","","Detects Obfuscated use of Environment Variables to execute PowerShell","19adbb05-25d8-44fe-3721-1590be735426"
"Invoke-Obfuscation COMPRESS OBFUSCATION - System","medium","system","","Detects Obfuscated Powershell via COMPRESS OBFUSCATION","6623b0c3-f904-2d2e-9c24-4cbb81bf55aa"
"HackTool Service Registration or Execution","high","system","","Detects installation or execution of services","fde28f27-a4fa-d3a4-a714-0ef2dfacb36c"
"RTCore Suspicious Service Installation","high","system","","Detects the installation of RTCore service. Which could be an indication of Micro-Star MSI Afterburner vulnerable driver abuse","6218888e-3b1f-f6be-b9f8-9fd758caa380"
"Invoke-Obfuscation Via Use Rundll32 - System","high","system","","Detects Obfuscated Powershell via use Rundll32 in Scripts","f1988b01-7f12-1851-58b5-8a4d63743183"
"Important Windows Service Terminated Unexpectedly","high","system","","Detects important or interesting Windows services that got terminated unexpectedly.","d3c329c7-54bd-4896-cc7d-e04077eba081"
"New PDQDeploy Service - Server Side","medium","system","","Detects a PDQDeploy service installation which indicates that PDQDeploy was installed on the machines.
PDQDeploy can be abused by attackers to remotely install packages or execute commands on target machines
","8682ea60-89d6-e616-7cdd-410a05ed1611"
"Invoke-Obfuscation CLIP+ Launcher - System","high","system","","Detects Obfuscated use of Clip.exe to execute PowerShell","414e0fbd-67a8-17e4-371e-4f9f6a8799d0"
"Anydesk Remote Access Software Service Installation","medium","system","","Detects the installation of the anydesk software service. Which could be an indication of anydesk abuse if you the software isn't already used.","87d5cdc0-24c5-8411-1230-d717dd6a47e8"
"Remote Access Tool Services Have Been Installed - System","medium","system","","Detects service installation of different remote access tools software. These software are often abused by threat actors to perform","cd1c0081-d0c8-369f-2ed1-dcc058b08b9c"
"Sliver C2 Default Service Installation","high","system","","Detects known malicious service installation that appear in cases in which a Sliver implants execute the PsExec commands","e38955da-ce8e-7137-94e5-7890c0bab131"
"Windows Defender Threat Detection Service Disabled","medium","system","","Detects when the ""Windows Defender Threat Protection"" service is disabled.","07c5c883-1da4-d066-f69b-6caadbd1d6f9"
"Important Windows Service Terminated With Error","high","system","","Detects important or interesting Windows services that got terminated for whatever reason","bf2272c8-bc92-d925-4fb6-aeb1fe9283aa"
"PowerShell Scripts Installed as Services","high","system","","Detects powershell script installed as a Service","be1b026a-db82-4f10-0739-68c60f1261c9"
"Suspicious Service Installation","high","system","","Detects suspicious service installation commands","ebfad3e2-5025-b233-20ef-71fc2ada8fe7"
"Moriya Rootkit - System","critical","system","","Detects the use of Moriya rootkit as described in the securelist's Operation TunnelSnake report","7ca6e518-decb-de46-861e-5673c026b257"
"Invoke-Obfuscation STDIN+ Launcher - System","high","system","","Detects Obfuscated use of stdin to execute PowerShell","9d5e9ea9-180b-0d92-6e5a-645275e94267"
"TacticalRMM Service Installation","medium","system","","Detects a TacticalRMM service installation. Tactical RMM is a remote monitoring & management tool.","a36af175-0d96-acc8-c2f7-f5bb57c974fe"
